SampleID,ReplicateNumber,Temp,Bacteria,Amoebae,BactCode,AmoebaCode,TempCode,Timepoint,SampleDate
DB_LA_L_12,12,20,Dead,Live,DB,LA,L,2,2020-03-16
DB_LA_L_13,13,20,Dead,Live,DB,LA,L,1,2020-03-09
DB_LA_L_14,14,20,Dead,Live,DB,LA,L,0,2020-03-02
DB_LA_L_15,15,20,Dead,Live,DB,LA,L,0,2020-03-02
DB_LA_L_16,16,20,Dead,Live,DB,LA,L,5,2020-04-06
DB_LA_L_17,17,20,Dead,Live,DB,LA,L,5,2020-04-06
DB_LA_L_18,18,20,Dead,Live,DB,LA,L,0,2020-03-02
DB_LA_L_19,19,20,Dead,Live,DB,LA,L,1,2020-03-09
DB_LA_L_20,20,20,Dead,Live,DB,LA,L,5,2020-04-06
DB_LA_L_21,21,20,Dead,Live,DB,LA,L,4,2020-03-30
DB_LA_L_22,22,20,Dead,Live,DB,LA,L,3,2020-03-23
DB_LA_L_23,23,20,Dead,Live,DB,LA,L,3,2020-03-23
DB_LA_L_24,24,20,Dead,Live,DB,LA,L,5,2020-04-06
DB_LA_L_25,25,20,Dead,Live,DB,LA,L,1,2020-03-09
DB_LA_L_26,26,20,Dead,Live,DB,LA,L,4,2020-03-30
DB_LA_L_27,27,20,Dead,Live,DB,LA,L,1,2020-03-09
DB_LA_L_28,28,20,Dead,Live,DB,LA,L,4,2020-03-30
DB_LA_L_29,29,20,Dead,Live,DB,LA,L,2,2020-03-16
DB_LA_L_30,30,20,Dead,Live,DB,LA,L,3,2020-03-23
DB_LA_L_31,31,20,Dead,Live,DB,LA,L,0,2020-03-02
DB_LA_L_32,32,20,Dead,Live,DB,LA,L,5,2020-04-06
DB_LA_L_33,33,20,Dead,Live,DB,LA,L,5,2020-04-06
DB_LA_L_34,34,20,Dead,Live,DB,LA,L,4,2020-03-30
DB_LA_L_35,35,20,Dead,Live,DB,LA,L,4,2020-03-30
DB_LA_L_36,36,20,Dead,Live,DB,LA,L,1,2020-03-09
DB_DA_L_01,1,20,Dead,Dead,DB,DA,L,3,2020-03-23
DB_DA_L_02,2,20,Dead,Dead,DB,DA,L,4,2020-03-30
DB_DA_L_03,3,20,Dead,Dead,DB,DA,L,0,2020-03-02
DB_DA_L_04,4,20,Dead,Dead,DB,DA,L,2,2020-03-16
DB_DA_L_05,5,20,Dead,Dead,DB,DA,L,3,2020-03-23
DB_DA_L_06,6,20,Dead,Dead,DB,DA,L,1,2020-03-09
DB_DA_L_07,7,20,Dead,Dead,DB,DA,L,2,2020-03-16
DB_DA_L_08,8,20,Dead,Dead,DB,DA,L,3,2020-03-23
DB_DA_L_09,9,20,Dead,Dead,DB,DA,L,2,2020-03-16
DB_DA_L_10,10,20,Dead,Dead,DB,DA,L,0,2020-03-02
DB_DA_L_11,11,20,Dead,Dead,DB,DA,L,2,2020-03-16
DB_DA_L_12,12,20,Dead,Dead,DB,DA,L,2,2020-03-16
DB_DA_L_13,13,20,Dead,Dead,DB,DA,L,1,2020-03-09
DB_DA_L_14,14,20,Dead,Dead,DB,DA,L,0,2020-03-02
DB_DA_L_15,15,20,Dead,Dead,DB,DA,L,0,2020-03-02
DB_DA_L_16,16,20,Dead,Dead,DB,DA,L,5,2020-04-06
DB_DA_L_17,17,20,Dead,Dead,DB,DA,L,5,2020-04-06
DB_DA_L_18,18,20,Dead,Dead,DB,DA,L,0,2020-03-02
DB_DA_L_19,19,20,Dead,Dead,DB,DA,L,1,2020-03-09
DB_DA_L_20,20,20,Dead,Dead,DB,DA,L,5,2020-04-06
DB_DA_L_21,21,20,Dead,Dead,DB,DA,L,4,2020-03-30
DB_DA_L_22,22,20,Dead,Dead,DB,DA,L,3,2020-03-23
DB_DA_L_23,23,20,Dead,Dead,DB,DA,L,3,2020-03-23
DB_DA_L_24,24,20,Dead,Dead,DB,DA,L,5,2020-04-06
DB_DA_L_25,25,20,Dead,Dead,DB,DA,L,1,2020-03-09
DB_DA_L_26,26,20,Dead,Dead,DB,DA,L,4,2020-03-30
DB_DA_L_27,27,20,Dead,Dead,DB,DA,L,1,2020-03-09
DB_DA_L_28,28,20,Dead,Dead,DB,DA,L,4,2020-03-30
DB_DA_L_29,29,20,Dead,Dead,DB,DA,L,2,2020-03-16
DB_DA_L_30,30,20,Dead,Dead,DB,DA,L,3,2020-03-23
DB_DA_L_31,31,20,Dead,Dead,DB,DA,L,0,2020-03-02
DB_DA_L_32,32,20,Dead,Dead,DB,DA,L,5,2020-04-06
DB_DA_L_33,33,20,Dead,Dead,DB,DA,L,5,2020-04-06
DB_DA_L_34,34,20,Dead,Dead,DB,DA,L,4,2020-03-30
LB_LA_H_01,1,25,Live,Live,LB,LA,H,3,2020-03-23
LB_LA_H_02,2,25,Live,Live,LB,LA,H,4,2020-03-30
LB_LA_H_03,3,25,Live,Live,LB,LA,H,0,2020-03-02
LB_LA_H_04,4,25,Live,Live,LB,LA,H,2,2020-03-16
LB_LA_H_05,5,25,Live,Live,LB,LA,H,3,2020-03-23
LB_LA_H_06,6,25,Live,Live,LB,LA,H,1,2020-03-09
LB_LA_H_07,7,25,Live,Live,LB,LA,H,2,2020-03-16
LB_LA_H_08,8,25,Live,Live,LB,LA,H,3,2020-03-23
LB_LA_H_09,9,25,Live,Live,LB,LA,H,2,2020-03-16
LB_LA_H_10,10,25,Live,Live,LB,LA,H,0,2020-03-02
LB_LA_H_11,11,25,Live,Live,LB,LA,H,2,2020-03-16
LB_LA_H_12,12,25,Live,Live,LB,LA,H,2,2020-03-16
LB_LA_H_13,13,25,Live,Live,LB,LA,H,1,2020-03-09
LB_LA_H_14,14,25,Live,Live,LB,LA,H,0,2020-03-02
LB_LA_H_15,15,25,Live,Live,LB,LA,H,0,2020-03-02
LB_LA_H_16,16,25,Live,Live,LB,LA,H,5,2020-04-06
LB_LA_H_17,17,25,Live,Live,LB,LA,H,5,2020-04-06
LB_LA_H_18,18,25,Live,Live,LB,LA,H,0,2020-03-02
LB_LA_H_19,19,25,Live,Live,LB,LA,H,1,2020-03-09
LB_LA_H_20,20,25,Live,Live,LB,LA,H,5,2020-04-06
LB_LA_H_21,21,25,Live,Live,LB,LA,H,4,2020-03-30
LB_LA_H_22,22,25,Live,Live,LB,LA,H,3,2020-03-23
LB_LA_H_23,23,25,Live,Live,LB,LA,H,3,2020-03-23
LB_LA_H_24,24,25,Live,Live,LB,LA,H,5,2020-04-06
LB_LA_H_25,25,25,Live,Live,LB,LA,H,1,2020-03-09
LB_LA_H_26,26,25,Live,Live,LB,LA,H,4,2020-03-30
LB_LA_H_27,27,25,Live,Live,LB,LA,H,1,2020-03-09
LB_LA_H_28,28,25,Live,Live,LB,LA,H,4,2020-03-30
LB_LA_H_29,29,25,Live,Live,LB,LA,H,2,2020-03-16
LB_LA_H_30,30,25,Live,Live,LB,LA,H,3,2020-03-23
LB_LA_H_31,31,25,Live,Live,LB,LA,H,0,2020-03-02
LB_LA_H_32,32,25,Live,Live,LB,LA,H,5,2020-04-06
LB_LA_H_33,33,25,Live,Live,LB,LA,H,5,2020-04-06
LB_LA_H_34,34,25,Live,Live,LB,LA,H,4,2020-03-30
LB_LA_H_35,35,25,Live,Live,LB,LA,H,4,2020-03-30
LB_LA_H_36,36,25,Live,Live,LB,LA,H,1,2020-03-09
LB_DA_H_01,1,25,Live,Dead,LB,DA,H,3,2020-03-23
LB_DA_H_02,2,25,Live,Dead,LB,DA,H,4,2020-03-30
LB_DA_H_03,3,25,Live,Dead,LB,DA,H,0,2020-03-02
LB_DA_H_04,4,25,Live,Dead,LB,DA,H,2,2020-03-16
LB_DA_H_05,5,25,Live,Dead,LB,DA,H,3,2020-03-23
LB_DA_H_06,6,25,Live,Dead,LB,DA,H,1,2020-03-09
LB_DA_H_07,7,25,Live,Dead,LB,DA,H,2,2020-03-16
LB_DA_H_08,8,25,Live,Dead,LB,DA,H,3,2020-03-23
LB_DA_H_09,9,25,Live,Dead,LB,DA,H,2,2020-03-16
LB_DA_H_10,10,25,Live,Dead,LB,DA,H,0,2020-03-02
LB_DA_H_11,11,25,Live,Dead,LB,DA,H,2,2020-03-16
LB_DA_H_12,12,25,Live,Dead,LB,DA,H,2,2020-03-16
LB_DA_H_13,13,25,Live,Dead,LB,DA,H,1,2020-03-09
LB_DA_H_14,14,25,Live,Dead,LB,DA,H,0,2020-03-02
LB_DA_H_15,15,25,Live,Dead,LB,DA,H,0,2020-03-02
LB_DA_H_16,16,25,Live,Dead,LB,DA,H,5,2020-04-06
LB_DA_H_17,17,25,Live,Dead,LB,DA,H,5,2020-04-06
LB_DA_H_18,18,25,Live,Dead,LB,DA,H,0,2020-03-02
LB_DA_H_19,19,25,Live,Dead,LB,DA,H,1,2020-03-09
LB_DA_H_20,20,25,Live,Dead,LB,DA,H,5,2020-04-06
LB_DA_H_21,21,25,Live,Dead,LB,DA,H,4,2020-03-30
LB_DA_H_22,22,25,Live,Dead,LB,DA,H,3,2020-03-23
LB_DA_H_23,23,25,Live,Dead,LB,DA,H,3,2020-03-23
LB_DA_H_24,24,25,Live,Dead,LB,DA,H,5,2020-04-06
LB_DA_H_25,25,25,Live,Dead,LB,DA,H,1,2020-03-09
LB_DA_H_26,26,25,Live,Dead,LB,DA,H,4,2020-03-30
LB_DA_H_27,27,25,Live,Dead,LB,DA,H,1,2020-03-09
LB_DA_H_28,28,25,Live,Dead,LB,DA,H,4,2020-03-30
LB_DA_H_29,29,25,Live,Dead,LB,DA,H,2,2020-03-16
LB_DA_H_30,30,25,Live,Dead,LB,DA,H,3,2020-03-23
LB_DA_H_31,31,25,Live,Dead,LB,DA,H,0,2020-03-02
LB_DA_H_32,32,25,Live,Dead,LB,DA,H,5,2020-04-06
LB_DA_H_33,33,25,Live,Dead,LB,DA,H,5,2020-04-06
LB_DA_H_34,34,25,Live,Dead,LB,DA,H,4,2020-03-30
LB_DA_H_35,35,25,Live,Dead,LB,DA,H,4,2020-03-30
LB_DA_H_36,36,25,Live,Dead,LB,DA,H,1,2020-03-09
DB_LA_H_01,1,25,Dead,Live,DB,LA,H,3,2020-03-23
DB_LA_H_02,2,25,Dead,Live,DB,LA,H,4,2020-03-30
DB_LA_H_03,3,25,Dead,Live,DB,LA,H,0,2020-03-02
DB_LA_H_04,4,25,Dead,Live,DB,LA,H,2,2020-03-16
DB_LA_H_05,5,25,Dead,Live,DB,LA,H,3,2020-03-23
DB_LA_H_06,6,25,Dead,Live,DB,LA,H,1,2020-03-09
DB_LA_H_07,7,25,Dead,Live,DB,LA,H,2,2020-03-16
DB_LA_H_08,8,25,Dead,Live,DB,LA,H,3,2020-03-23
DB_LA_H_09,9,25,Dead,Live,DB,LA,H,2,2020-03-16
DB_LA_H_10,10,25,Dead,Live,DB,LA,H,0,2020-03-02
DB_LA_H_11,11,25,Dead,Live,DB,LA,H,2,2020-03-16
DB_LA_H_12,12,25,Dead,Live,DB,LA,H,2,2020-03-16
DB_LA_H_13,13,25,Dead,Live,DB,LA,H,1,2020-03-09
DB_LA_H_14,14,25,Dead,Live,DB,LA,H,0,2020-03-02
DB_LA_H_15,15,25,Dead,Live,DB,LA,H,0,2020-03-02
DB_LA_H_16,16,25,Dead,Live,DB,LA,H,5,2020-04-06
DB_LA_H_17,17,25,Dead,Live,DB,LA,H,5,2020-04-06
DB_LA_H_18,18,25,Dead,Live,DB,LA,H,0,2020-03-02
